,Gene_MEND52
0,GRCh38__MIR1302-2HG
1,GRCh38__FAM138A
2,GRCh38__OR4F5
3,GRCh38__AL627309.1
4,GRCh38__AL627309.3
5,GRCh38__AL627309.2
6,GRCh38__AL627309.4
7,GRCh38__AL732372.1
8,GRCh38__OR4F29
9,GRCh38__AC114498.1
10,GRCh38__OR4F16
11,GRCh38__AL669831.2
12,GRCh38__AL669831.5
13,GRCh38__FAM87B
14,GRCh38__LINC00115
15,GRCh38__FAM41C
16,GRCh38__AL645608.7
17,GRCh38__AL645608.3
18,GRCh38__AL645608.5
19,GRCh38__AL645608.1
20,GRCh38__SAMD11
21,GRCh38__NOC2L
22,GRCh38__KLHL17
23,GRCh38__PLEKHN1
24,GRCh38__PERM1
25,GRCh38__AL645608.8
26,GRCh38__HES4
27,GRCh38__ISG15
28,GRCh38__AL645608.2
29,GRCh38__AGRN
30,GRCh38__AL645608.9
31,GRCh38__RNF223
32,GRCh38__C1orf159
33,GRCh38__LINC01342
34,GRCh38__AL390719.2
35,GRCh38__TTLL10-AS1
36,GRCh38__TTLL10
37,GRCh38__TNFRSF18
38,GRCh38__TNFRSF4
39,GRCh38__SDF4
40,GRCh38__B3GALT6
41,GRCh38__C1QTNF12
42,GRCh38__AL162741.1
43,GRCh38__UBE2J2
44,GRCh38__LINC01786
45,GRCh38__SCNN1D
46,GRCh38__ACAP3
47,GRCh38__PUSL1
48,GRCh38__INTS11
49,GRCh38__CPTP
50,GRCh38__TAS1R3
51,GRCh38__DVL1
52,GRCh38__MXRA8
53,GRCh38__AURKAIP1
54,GRCh38__CCNL2
55,GRCh38__MRPL20
56,GRCh38__AL391244.3
57,GRCh38__ANKRD65
58,GRCh38__AL391244.2
59,GRCh38__TMEM88B
60,GRCh38__LINC01770
61,GRCh38__VWA1
62,GRCh38__ATAD3C
63,GRCh38__ATAD3B
64,GRCh38__ATAD3A
65,GRCh38__TMEM240
66,GRCh38__SSU72
67,GRCh38__AL645728.1
68,GRCh38__FNDC10
69,GRCh38__AL691432.2
70,GRCh38__MIB2
71,GRCh38__MMP23B
72,GRCh38__CDK11B
73,GRCh38__FO704657.1
74,GRCh38__SLC35E2B
75,GRCh38__CDK11A
76,GRCh38__SLC35E2A
77,GRCh38__NADK
78,GRCh38__GNB1
79,GRCh38__AL109917.1
80,GRCh38__CALML6
81,GRCh38__TMEM52
82,GRCh38__CFAP74
83,GRCh38__AL391845.2
84,GRCh38__GABRD
85,GRCh38__AL391845.1
86,GRCh38__PRKCZ
87,GRCh38__AL590822.2
88,GRCh38__PRKCZ-AS1
89,GRCh38__FAAP20
90,GRCh38__AL590822.1
91,GRCh38__SKI
92,GRCh38__MORN1
93,GRCh38__RER1
94,GRCh38__PEX10
95,GRCh38__PLCH2
96,GRCh38__AL139246.1
97,GRCh38__AL139246.4
98,GRCh38__PANK4
99,GRCh38__HES5
100,GRCh38__AL139246.5
101,GRCh38__TNFRSF14-AS1
102,GRCh38__TNFRSF14
103,GRCh38__AL139246.3
104,GRCh38__FAM213B
105,GRCh38__MMEL1
106,GRCh38__AL831784.1
107,GRCh38__TTC34
108,GRCh38__AC242022.1
109,GRCh38__AL592464.2
110,GRCh38__AL592464.1
111,GRCh38__AL589702.1
112,GRCh38__ACTRT2
113,GRCh38__LINC00982
114,GRCh38__PRDM16
115,GRCh38__AL008733.1
116,GRCh38__AL590438.1
117,GRCh38__ARHGEF16
118,GRCh38__AL512413.1
119,GRCh38__MEGF6
120,GRCh38__AL513320.1
121,GRCh38__TPRG1L
122,GRCh38__WRAP73
123,GRCh38__TP73
124,GRCh38__AL136528.1
125,GRCh38__AL136528.2
126,GRCh38__CCDC27
127,GRCh38__SMIM1
128,GRCh38__LRRC47
129,GRCh38__AL365330.1
130,GRCh38__CEP104
131,GRCh38__DFFB
132,GRCh38__C1orf174
133,GRCh38__LINC01134
134,GRCh38__LINC01346
135,GRCh38__LINC01345
136,GRCh38__AL805961.1
137,GRCh38__AL805961.2
138,GRCh38__LINC01777
139,GRCh38__AL355602.1
140,GRCh38__Z98747.1
141,GRCh38__LINC01646
142,GRCh38__AJAP1
143,GRCh38__BX005132.2
144,GRCh38__BX005132.1
145,GRCh38__AL691497.1
146,GRCh38__AL139823.1
147,GRCh38__Z98259.3
148,GRCh38__Z98259.2
149,GRCh38__Z98259.1
150,GRCh38__AL365255.1
151,GRCh38__NPHP4
152,GRCh38__KCNAB2
153,GRCh38__CHD5
154,GRCh38__RPL22
155,GRCh38__AL031847.1
156,GRCh38__RNF207
157,GRCh38__ICMT
158,GRCh38__LINC00337
159,GRCh38__HES3
160,GRCh38__GPR153
161,GRCh38__ACOT7
162,GRCh38__AL031848.2
163,GRCh38__HES2
164,GRCh38__ESPN
165,GRCh38__AL031848.1
166,GRCh38__TNFRSF25
167,GRCh38__PLEKHG5
168,GRCh38__NOL9
169,GRCh38__TAS1R1
170,GRCh38__ZBTB48
171,GRCh38__KLHL21
172,GRCh38__PHF13
173,GRCh38__THAP3
174,GRCh38__DNAJC11
175,GRCh38__LINC01672
176,GRCh38__AL591163.1
177,GRCh38__CAMTA1-DT
178,GRCh38__CAMTA1
179,GRCh38__AL512330.1
180,GRCh38__Z97987.1
181,GRCh38__AL365194.1
182,GRCh38__AL359881.3
183,GRCh38__AL359881.2
184,GRCh38__AL359881.1
185,GRCh38__VAMP3
186,GRCh38__PER3
187,GRCh38__Z98884.1
188,GRCh38__UTS2
189,GRCh38__TNFRSF9
190,GRCh38__PARK7
191,GRCh38__AL034417.4
192,GRCh38__AL034417.3
193,GRCh38__ERRFI1
194,GRCh38__AL034417.2
195,GRCh38__LINC01714
196,GRCh38__AL358876.2
197,GRCh38__SLC45A1
198,GRCh38__RERE
199,GRCh38__AL096855.1
200,GRCh38__AL357552.2
201,GRCh38__ENO1
202,GRCh38__ENO1-AS1
203,GRCh38__CA6
204,GRCh38__SLC2A7
205,GRCh38__SLC2A5
206,GRCh38__GPR157
207,GRCh38__MIR34AHG
208,GRCh38__LINC01759
209,GRCh38__H6PD
210,GRCh38__SPSB1
211,GRCh38__BX323043.1
212,GRCh38__AL928921.2
213,GRCh38__AL928921.1
214,GRCh38__SLC25A33
215,GRCh38__TMEM201
216,GRCh38__PIK3CD
217,GRCh38__PIK3CD-AS1
218,GRCh38__PIK3CD-AS2
219,GRCh38__CLSTN1
220,GRCh38__CTNNBIP1
221,GRCh38__AL357140.1
222,GRCh38__LZIC
223,GRCh38__NMNAT1
224,GRCh38__RBP7
225,GRCh38__UBE4B
226,GRCh38__KIF1B
227,GRCh38__AL139424.3
228,GRCh38__AL139424.2
229,GRCh38__PGD
230,GRCh38__AL139424.1
231,GRCh38__CENPS-CORT
232,GRCh38__CENPS
233,GRCh38__CORT
234,GRCh38__DFFA
235,GRCh38__AL354956.1
236,GRCh38__PEX14
237,GRCh38__CASZ1
238,GRCh38__AL139423.1
239,GRCh38__C1orf127
240,GRCh38__TARDBP
241,GRCh38__AL109811.4
242,GRCh38__MASP2
243,GRCh38__AL109811.3
244,GRCh38__SRM
245,GRCh38__EXOSC10
246,GRCh38__AL109811.1
247,GRCh38__AL109811.2
248,GRCh38__MTOR
249,GRCh38__MTOR-AS1
250,GRCh38__ANGPTL7
251,GRCh38__UBIAD1
252,GRCh38__AL031291.1
253,GRCh38__DISP3
254,GRCh38__LINC01647
255,GRCh38__AL031731.1
256,GRCh38__FBXO2
257,GRCh38__FBXO44
258,GRCh38__FBXO6
259,GRCh38__MAD2L2
260,GRCh38__DRAXIN
261,GRCh38__AGTRAP
262,GRCh38__C1orf167
263,GRCh38__AL953897.1
264,GRCh38__MTHFR
265,GRCh38__CLCN6
266,GRCh38__NPPA-AS1
267,GRCh38__NPPA
268,GRCh38__NPPB
269,GRCh38__KIAA2013
270,GRCh38__PLOD1
271,GRCh38__MFN2
272,GRCh38__MIIP
273,GRCh38__TNFRSF8
274,GRCh38__TNFRSF1B
275,GRCh38__VPS13D
276,GRCh38__AC243836.1
277,GRCh38__DHRS3
278,GRCh38__AC254633.1
279,GRCh38__AADACL4
280,GRCh38__AADACL3
281,GRCh38__C1orf158
282,GRCh38__PRAMEF12
283,GRCh38__PRAMEF1
284,GRCh38__LINC01784
285,GRCh38__PRAMEF11
286,GRCh38__HNRNPCL1
287,GRCh38__PRAMEF2
288,GRCh38__PRAMEF4
289,GRCh38__PRAMEF10
290,GRCh38__PRAMEF7
291,GRCh38__PRAMEF6
292,GRCh38__PRAMEF27
293,GRCh38__HNRNPCL3
294,GRCh38__PRAMEF25
295,GRCh38__HNRNPCL2
296,GRCh38__AC245056.1
297,GRCh38__PRAMEF26
298,GRCh38__HNRNPCL4
299,GRCh38__PRAMEF9
300,GRCh38__PRAMEF13
301,GRCh38__PRAMEF18
302,GRCh38__PRAMEF5
303,GRCh38__PRAMEF8
304,GRCh38__PRAMEF33
305,GRCh38__PRAMEF15
306,GRCh38__AC243961.1
307,GRCh38__PRAMEF14
308,GRCh38__PRAMEF19
309,GRCh38__PRAMEF17
310,GRCh38__PRAMEF20
311,GRCh38__LRRC38
312,GRCh38__AL354712.1
313,GRCh38__PDPN
314,GRCh38__AL359771.1
315,GRCh38__PRDM2
316,GRCh38__KAZN
317,GRCh38__AL357873.1
318,GRCh38__KAZN-AS1
319,GRCh38__TMEM51-AS1
320,GRCh38__TMEM51
321,GRCh38__C1orf195
322,GRCh38__FHAD1
323,GRCh38__AL031283.2
324,GRCh38__AL031283.3
325,GRCh38__AL031283.1
326,GRCh38__EFHD2
327,GRCh38__CTRC
328,GRCh38__CELA2A
329,GRCh38__CELA2B
330,GRCh38__CASP9
331,GRCh38__DNAJC16
332,GRCh38__AL121992.3
333,GRCh38__AGMAT
334,GRCh38__AL121992.1
335,GRCh38__DDI2
336,GRCh38__RSC1A1
337,GRCh38__AL121992.2
338,GRCh38__PLEKHM2
339,GRCh38__AL450998.3
340,GRCh38__SLC25A34
341,GRCh38__SLC25A34-AS1
342,GRCh38__TMEM82
343,GRCh38__FBLIM1
344,GRCh38__UQCRHL
345,GRCh38__AL450998.2
346,GRCh38__SPEN
347,GRCh38__ZBTB17
348,GRCh38__SRARP
349,GRCh38__AL355994.3
350,GRCh38__HSPB7
351,GRCh38__CLCNKA
352,GRCh38__CLCNKB
353,GRCh38__FAM131C
354,GRCh38__EPHA2
355,GRCh38__AL451042.2
356,GRCh38__AL451042.1
357,GRCh38__ARHGEF19-AS1
358,GRCh38__ARHGEF19
359,GRCh38__CPLANE2
360,GRCh38__FBXO42
361,GRCh38__SZRD1
362,GRCh38__SPATA21
363,GRCh38__NECAP2
364,GRCh38__LINC01772
365,GRCh38__AL137802.2
366,GRCh38__AL137802.1
367,GRCh38__LINC01783
368,GRCh38__NBPF1
369,GRCh38__AL137798.1
370,GRCh38__AL137798.2
