,Gene_MEND52
0,GRCh38______MIR1302-2HG
1,GRCh38______FAM138A
2,GRCh38______OR4F5
3,GRCh38______AL627309.1
4,GRCh38______AL627309.3
5,GRCh38______AL627309.2
6,GRCh38______AL627309.5
7,GRCh38______AL627309.4
8,GRCh38______AP006222.2
9,GRCh38______AL732372.1
10,GRCh38______OR4F29
11,GRCh38______AC114498.1
12,GRCh38______OR4F16
13,GRCh38______AL669831.2
14,GRCh38______LINC01409
15,GRCh38______FAM87B
16,GRCh38______LINC01128
17,GRCh38______LINC00115
18,GRCh38______FAM41C
19,GRCh38______AL645608.6
20,GRCh38______AL645608.2
21,GRCh38______AL645608.4
22,GRCh38______LINC02593
23,GRCh38______SAMD11
24,GRCh38______NOC2L
25,GRCh38______KLHL17
26,GRCh38______PLEKHN1
27,GRCh38______PERM1
28,GRCh38______AL645608.7
29,GRCh38______HES4
30,GRCh38______ISG15
31,GRCh38______AL645608.1
32,GRCh38______AGRN
33,GRCh38______AL645608.5
34,GRCh38______AL645608.8
35,GRCh38______RNF223
36,GRCh38______C1orf159
37,GRCh38______AL390719.3
38,GRCh38______LINC01342
39,GRCh38______AL390719.2
40,GRCh38______TTLL10-AS1
41,GRCh38______TTLL10
42,GRCh38______TNFRSF18
43,GRCh38______TNFRSF4
44,GRCh38______SDF4
45,GRCh38______B3GALT6
46,GRCh38______C1QTNF12
47,GRCh38______AL162741.1
48,GRCh38______UBE2J2
49,GRCh38______LINC01786
50,GRCh38______SCNN1D
51,GRCh38______ACAP3
52,GRCh38______PUSL1
53,GRCh38______INTS11
54,GRCh38______AL139287.1
55,GRCh38______CPTP
56,GRCh38______TAS1R3
57,GRCh38______DVL1
58,GRCh38______MXRA8
59,GRCh38______AURKAIP1
60,GRCh38______CCNL2
61,GRCh38______MRPL20-AS1
62,GRCh38______MRPL20
63,GRCh38______AL391244.2
64,GRCh38______ANKRD65
65,GRCh38______AL391244.1
66,GRCh38______TMEM88B
67,GRCh38______LINC01770
68,GRCh38______VWA1
69,GRCh38______ATAD3C
70,GRCh38______ATAD3B
71,GRCh38______ATAD3A
72,GRCh38______TMEM240
73,GRCh38______SSU72
74,GRCh38______AL645728.1
75,GRCh38______FNDC10
76,GRCh38______AL691432.4
77,GRCh38______AL691432.2
78,GRCh38______MIB2
79,GRCh38______MMP23B
80,GRCh38______CDK11B
81,GRCh38______FO704657.1
82,GRCh38______SLC35E2B
83,GRCh38______CDK11A
84,GRCh38______SLC35E2A
85,GRCh38______NADK
86,GRCh38______GNB1
87,GRCh38______AL109917.1
88,GRCh38______CALML6
89,GRCh38______TMEM52
90,GRCh38______CFAP74
91,GRCh38______AL391845.2
92,GRCh38______GABRD
93,GRCh38______AL391845.1
94,GRCh38______PRKCZ
95,GRCh38______AL590822.2
96,GRCh38______PRKCZ-AS1
97,GRCh38______FAAP20
98,GRCh38______AL590822.1
99,GRCh38______SKI
100,GRCh38______AL590822.3
101,GRCh38______MORN1
102,GRCh38______AL589739.1
103,GRCh38______AL513477.2
104,GRCh38______RER1
105,GRCh38______PEX10
106,GRCh38______PLCH2
107,GRCh38______AL139246.1
108,GRCh38______AL139246.4
109,GRCh38______PANK4
110,GRCh38______HES5
111,GRCh38______AL139246.5
112,GRCh38______TNFRSF14-AS1
113,GRCh38______TNFRSF14
114,GRCh38______AL139246.3
115,GRCh38______PRXL2B
116,GRCh38______MMEL1
117,GRCh38______AL831784.1
118,GRCh38______TTC34
119,GRCh38______AC242022.2
120,GRCh38______AC242022.1
121,GRCh38______AL592464.2
122,GRCh38______AL592464.3
123,GRCh38______AL592464.1
124,GRCh38______AL589702.1
125,GRCh38______ACTRT2
126,GRCh38______PRDM16-DT
127,GRCh38______PRDM16
128,GRCh38______AL008733.1
129,GRCh38______AL590438.1
130,GRCh38______AL354743.2
131,GRCh38______AL354743.1
132,GRCh38______ARHGEF16
133,GRCh38______AL512413.1
134,GRCh38______MEGF6
135,GRCh38______AL513320.1
136,GRCh38______TPRG1L
137,GRCh38______WRAP73
138,GRCh38______TP73
139,GRCh38______AL136528.1
140,GRCh38______AL136528.2
141,GRCh38______CCDC27
142,GRCh38______SMIM1
143,GRCh38______LRRC47
144,GRCh38______AL365330.1
145,GRCh38______CEP104
146,GRCh38______DFFB
147,GRCh38______C1orf174
148,GRCh38______LINC01134
149,GRCh38______LINC01346
150,GRCh38______LINC01345
151,GRCh38______LINC02780
152,GRCh38______AL805961.1
153,GRCh38______LINC01777
154,GRCh38______AL355602.1
155,GRCh38______Z98747.1
156,GRCh38______LINC01646
157,GRCh38______AJAP1
158,GRCh38______Z98886.1
159,GRCh38______BX005132.1
160,GRCh38______LINC02781
161,GRCh38______LINC02782
162,GRCh38______AL139823.1
163,GRCh38______Z98259.3
164,GRCh38______Z98259.2
165,GRCh38______Z98259.1
166,GRCh38______AL365255.1
167,GRCh38______NPHP4
168,GRCh38______KCNAB2
169,GRCh38______CHD5
170,GRCh38______RPL22
171,GRCh38______AL031847.1
172,GRCh38______RNF207
173,GRCh38______ICMT
174,GRCh38______LINC00337
175,GRCh38______HES3
176,GRCh38______GPR153
177,GRCh38______ACOT7
178,GRCh38______AL031848.2
179,GRCh38______HES2
180,GRCh38______ESPN
181,GRCh38______AL031848.1
182,GRCh38______TNFRSF25
183,GRCh38______PLEKHG5
184,GRCh38______NOL9
185,GRCh38______TAS1R1
186,GRCh38______ZBTB48
187,GRCh38______KLHL21
188,GRCh38______PHF13
189,GRCh38______THAP3
190,GRCh38______DNAJC11
191,GRCh38______LINC01672
192,GRCh38______AL591163.1
193,GRCh38______CAMTA1-DT
194,GRCh38______CAMTA1
195,GRCh38______AL512330.1
196,GRCh38______CAMTA1-IT1
197,GRCh38______Z97987.1
198,GRCh38______AL365194.1
199,GRCh38______AL359881.3
200,GRCh38______AL359881.2
201,GRCh38______AL359881.1
202,GRCh38______VAMP3
203,GRCh38______Z98884.2
204,GRCh38______PER3
205,GRCh38______Z98884.1
206,GRCh38______UTS2
207,GRCh38______TNFRSF9
208,GRCh38______PARK7
209,GRCh38______AL034417.4
210,GRCh38______AL034417.3
211,GRCh38______ERRFI1
212,GRCh38______AL034417.2
213,GRCh38______LINC01714
214,GRCh38______AL358876.2
215,GRCh38______SLC45A1
216,GRCh38______RERE
217,GRCh38______RERE-AS1
218,GRCh38______AL357552.2
219,GRCh38______ENO1
220,GRCh38______ENO1-AS1
221,GRCh38______CA6
222,GRCh38______SLC2A7
223,GRCh38______SLC2A5
224,GRCh38______GPR157
225,GRCh38______MIR34AHG
226,GRCh38______LNCTAM34A
227,GRCh38______H6PD
228,GRCh38______SPSB1
229,GRCh38______BX323043.1
230,GRCh38______LINC02606
231,GRCh38______AL928921.1
232,GRCh38______SLC25A33
233,GRCh38______TMEM201
234,GRCh38______PIK3CD
235,GRCh38______PIK3CD-AS1
236,GRCh38______PIK3CD-AS2
237,GRCh38______CLSTN1
238,GRCh38______CTNNBIP1
239,GRCh38______AL357140.1
240,GRCh38______AL357140.4
241,GRCh38______LZIC
242,GRCh38______AL357140.2
243,GRCh38______NMNAT1
244,GRCh38______AL603962.1
245,GRCh38______RBP7
246,GRCh38______UBE4B
247,GRCh38______KIF1B
248,GRCh38______AL139424.3
249,GRCh38______AL139424.2
250,GRCh38______PGD
251,GRCh38______AL139424.1
252,GRCh38______CENPS
253,GRCh38______CORT
254,GRCh38______DFFA
255,GRCh38______AL354956.1
256,GRCh38______PEX14
257,GRCh38______AL139423.2
258,GRCh38______CASZ1
259,GRCh38______AL139423.1
260,GRCh38______C1orf127
261,GRCh38______TARDBP
262,GRCh38______MASP2
263,GRCh38______AL109811.2
264,GRCh38______SRM
265,GRCh38______EXOSC10
266,GRCh38______AL109811.1
267,GRCh38______EXOSC10-AS1
268,GRCh38______MTOR
269,GRCh38______MTOR-AS1
270,GRCh38______ANGPTL7
271,GRCh38______UBIAD1
272,GRCh38______AL031291.1
273,GRCh38______DISP3
274,GRCh38______AL590989.1
275,GRCh38______LINC01647
276,GRCh38______AL031731.1
277,GRCh38______FBXO2
278,GRCh38______FBXO44
279,GRCh38______FBXO6
280,GRCh38______MAD2L2
281,GRCh38______DRAXIN
282,GRCh38______AGTRAP
283,GRCh38______C1orf167
284,GRCh38______AL953897.1
285,GRCh38______MTHFR
286,GRCh38______CLCN6
287,GRCh38______NPPA
288,GRCh38______NPPB
289,GRCh38______AL021155.5
290,GRCh38______KIAA2013
291,GRCh38______PLOD1
292,GRCh38______AL096840.2
293,GRCh38______MFN2
294,GRCh38______MIIP
295,GRCh38______TNFRSF8
296,GRCh38______AL357835.1
297,GRCh38______TNFRSF1B
298,GRCh38______VPS13D
299,GRCh38______LINC02766
300,GRCh38______DHRS3
301,GRCh38______AC254633.1
302,GRCh38______AADACL4
303,GRCh38______AADACL3
304,GRCh38______C1orf158
305,GRCh38______PRAMEF12
306,GRCh38______PRAMEF1
307,GRCh38______LINC01784
308,GRCh38______PRAMEF11
309,GRCh38______HNRNPCL1
310,GRCh38______PRAMEF2
311,GRCh38______PRAMEF4
312,GRCh38______PRAMEF10
313,GRCh38______PRAMEF7
314,GRCh38______PRAMEF6
315,GRCh38______PRAMEF27
316,GRCh38______HNRNPCL3
317,GRCh38______PRAMEF25
318,GRCh38______HNRNPCL2
319,GRCh38______AC245056.1
320,GRCh38______PRAMEF26
321,GRCh38______HNRNPCL4
322,GRCh38______PRAMEF9
323,GRCh38______PRAMEF13
324,GRCh38______PRAMEF18
325,GRCh38______PRAMEF5
326,GRCh38______PRAMEF8
327,GRCh38______PRAMEF33
328,GRCh38______PRAMEF15
329,GRCh38______AC243961.1
330,GRCh38______PRAMEF14
331,GRCh38______PRAMEF19
332,GRCh38______PRAMEF17
333,GRCh38______PRAMEF20
334,GRCh38______LRRC38
335,GRCh38______AL354712.1
336,GRCh38______PDPN
337,GRCh38______AL359771.1
338,GRCh38______PRDM2
339,GRCh38______KAZN
340,GRCh38______AL357873.1
341,GRCh38______KAZN-AS1
342,GRCh38______AL031293.1
343,GRCh38______TMEM51-AS1
344,GRCh38______TMEM51
345,GRCh38______C1orf195
346,GRCh38______FHAD1
347,GRCh38______AL031283.2
348,GRCh38______AL031283.3
349,GRCh38______AL031283.1
350,GRCh38______EFHD2
351,GRCh38______CTRC
352,GRCh38______CELA2A
353,GRCh38______CELA2B
354,GRCh38______CASP9
355,GRCh38______DNAJC16
356,GRCh38______AL121992.3
357,GRCh38______AGMAT
358,GRCh38______AL121992.1
359,GRCh38______DDI2
360,GRCh38______RSC1A1
361,GRCh38______AL121992.2
362,GRCh38______PLEKHM2
363,GRCh38______AL450998.3
364,GRCh38______SLC25A34
365,GRCh38______SLC25A34-AS1
366,GRCh38______TMEM82
367,GRCh38______FBLIM1
368,GRCh38______UQCRHL
369,GRCh38______AL450998.2
