"subunit_1","subunit_2","subunit_3","subunit_4","subunit_5"
"INHBA","INHBB","","",""
"INHA","INHBA","","",""
"INHA","INHBB","","",""
"IL12A","IL12B","","",""
"IL12B","IL23A","","",""
"IL27","EBI3","","",""
"IL17A","IL17F","","",""
"LTA","LTB","","",""
"GP1BA","GP1BB","GP5","GP9",""
"ACVR1","ACVR2A","","",""
"ACVR1","ACVR2B","","",""
"ACVR1","BMPR2","","",""
"ACVR1","TGFBR1","TGFBR2","",""
"ACVR1B","ACVR2A","","",""
"ACVR1B","ACVR2A","CFC1","",""
"ACVR1B","ACVR2B","","",""
"ACVR1B","ACVR2B","CFC1","",""
"ACVR1B","BMPR2","","",""
"ACVR1B","TGFBR2","","",""
"ACVR1C","ACVR2A","","",""
"ACVR1C","ACVR2A","CFC1","",""
"ACVR1C","ACVR2B","","",""
"ACVR1C","ACVR2B","CFC1","",""
"ACVR1C","TGFBR2","","",""
"ACVRL1","ACVR2A","","",""
"ACVRL1","BMPR2","","",""
"AMHR2","ACVR1","","",""
"AMHR2","BMPR1A","","",""
"BMPR1A","ACVR2A","","",""
"BMPR1A","ACVR2B","","",""
"BMPR1A","BMPR2","","",""
"BMPR1B","ACVR2A","","",""
"BMPR1B","ACVR2B","","",""
"BMPR1B","BMPR2","","",""
"CD74","CD44","","",""
"CD74","CXCR2","","",""
"CD74","CXCR4","","",""
"CD8A","CD8B","","",""
"CNTFR","LIFR","IL6ST","",""
"CNTN1","CNTNAP1","","",""
"CNTN2","CNTNAP2","","",""
"CSF2RA","CSF2RB","","",""
"EGFR","ERBB2","","",""
"ERBB2","ERBB3","","",""
"ERBB2","ERBB4","","",""
"FLT1","KDR","","",""
"FLT4","KDR","","",""
"FPR2","FPR3","","",""
"FZD1","LRP5","","",""
"FZD1","LRP6","","",""
"FZD10","LRP5","","",""
"FZD10","LRP6","","",""
"FZD2","LRP5","","",""
"FZD2","LRP6","","",""
"FZD3","LRP5","","",""
"FZD3","LRP6","","",""
"FZD4","LRP5","","",""
"FZD4","LRP6","","",""
"FZD5","LRP5","","",""
"FZD5","LRP6","","",""
"FZD6","LRP5","","",""
"FZD6","LRP6","","",""
"FZD7","LRP5","","",""
"FZD7","LRP6","","",""
"FZD8","LRP5","","",""
"FZD8","LRP6","","",""
"FZD9","LRP5","","",""
"FZD9","LRP6","","",""
"GFRA1","RET","","",""
"GFRA2","RET","","",""
"GFRA3","RET","","",""
"GFRA4","RET","","",""
"IFNAR1","IFNAR2","","",""
"IFNGR1","IFNGR2","","",""
"IFNLR1","IL10RB","","",""
"IL10RA","IL10RB","","",""
"IL11RA","IL6ST","","",""
"IL12RB1","IL12RB2","","",""
"IL15RA","IL2RB","IL2RG","",""
"IL17RA","IL17RB","","",""
"IL17RA","IL17RC","","",""
"IL17RA","IL17RE","","",""
"IL18R1","IL18RAP","","",""
"IL1R1","IL1RAP","","",""
"IL1RL1","IL1RAP","","",""
"IL1RL2","IL1RAP","","",""
"IL2RA","IL2RB","IL2RG","",""
"IL21R","IL2RG","","",""
"IL22RA1","IL10RB","","",""
"IL22RA1","IL20RB","","",""
"IL20RA","IL20RB","","",""
"IL20RA","IL10RB","","",""
"IL23R","IL12RB1","","",""
"IL27RA","IL6ST","","",""
"IL2RB","IL2RG","","",""
"IL31RA","OSMR","","",""
"IL3RA","CSF2RB","","",""
"IL4R","IL13RA1","","",""
"IL4R","IL13RA2","","",""
"IL4R","IL2RG","","",""
"IL5RA","CSF2RB","","",""
"IL6R","IL6ST","","",""
"IL7R","CRLF2","","",""
"IL7R","IL2RG","","",""
"IL9R","IL2RG","","",""
"ITGA1","ITGB1","","",""
"ITGA10","ITGB1","","",""
"ITGA11","ITGB1","","",""
"ITGA2","ITGB1","","",""
"ITGA2B","ITGB3","","",""
"ITGA3","ITGB1","","",""
"ITGA4","ITGB1","","",""
"ITGA4","ITGB7","","",""
"ITGA5","ITGB1","","",""
"ITGA6","ITGB1","","",""
"ITGA6","ITGB4","","",""
"ITGA7","ITGB1","","",""
"ITGA8","ITGB1","","",""
"ITGA9","ITGB1","","",""
"ITGAE","ITGB7","","",""
"ITGAL","ITGB2","","",""
"ITGAM","ITGB2","","",""
"ITGAV","ITGB1","","",""
"ITGAV","ITGB3","","",""
"ITGAV","ITGB5","","",""
"ITGAV","ITGB6","","",""
"ITGAV","ITGB8","","",""
"ITGAX","ITGB2","","",""
"ITGB1","ITGA1","","",""
"KLRD1","KLRC1","","",""
"KLRD1","KLRC2","","",""
"KLRK1","HCST","","",""
"LIFR","IL6ST","","",""
"NPNT","FRAS1","FREM1","",""
"NPNT","FRAS1","FREM2","",""
"NRP1","NRP2","PLXND1","",""
"NRP1","PLXNA1","","",""
"NRP1","PLXNA2","","",""
"NRP1","PLXNA3","","",""
"NRP1","PLXNA4","","",""
"NRP2","PLXNA1","","",""
"NRP2","PLXNA2","","",""
"NRP2","PLXNA3","","",""
"NRP2","PLXNA4","","",""
"OSMR","IL6ST","","",""
"PLXNA1","KDR","","",""
"PLXNA1","TREM2","TYROBP","",""
"PTCH1","SMO","","",""
"PTCH2","SMO","","",""
"TGFBR1","ACVR2A","","",""
"TGFBR1","ACVR2B","","",""
"TGFBR1","TGFBR2","","",""
"KLRD1","KLRC1","","",""
"KLRD1","KLRC2","","",""
"KLRD1","KLRC3","","",""
"CALCR","RAMP1","","",""
"CALCR","RAMP2","","",""
"CALCR","RAMP3","","",""
"PROCR","HSP90AA1","","",""
"PROCR","F2R","","",""
"ITGAD","ITGB2","","",""
"TENM2","FLRT1","","",""
"TENM2","FLRT3","","",""
"TENM4","FLRT1","","",""
"TENM4","FLRT3","","",""
"TENM3","FLRT1","","",""
"TENM3","FLRT3","","",""
"GPHB5","GPHA2","","",""
"CGA","TSHB","","",""
"KLRK1","HCST","","",""
"AMHR2","BMPR1B","","",""
"CALCR","RAMP1","","",""
"CALCR","RAMP2","","",""
"CALCR","RAMP3","","",""
"BCR","PTPRC","CD22","",""
"AMN","CUBN","","",""
"PTGR1","","","",""
"CYP11A1","","","",""
"CYP3A4","","","",""
"DAGLA","","","",""
"DAGLB","","","",""
"DHRS9","","","",""
"TREM2","TYROBP","","",""
"CHRNA3","CHRNB4","","",""
"CHRNA4","CHRNB2","","",""
"CYP11B2","","","",""
"CYP17A1","","","",""
"HSD17B6","","","",""
"ALDH1A1","ALDH1A1","","",""
"RARA","CRABP2","","",""
"RARA","RXRA","CRABP2","",""
"RARB","CRABP2","","",""
"RARB","RXRB","CRABP2","",""
"RARG","CRABP2","","",""
"RARG","RXRG","CRABP2","",""
"RXRA","CRABP2","","",""
"RXRB","CRABP2","","",""
"RXRG","CRABP2","","",""
"ALDH1A2","","","",""
"ALDH1A3","","","",""
"CYP27B1","","","",""
"CEL","","","",""
"DHCR24","","","",""
"DHCR7","","","",""
"LIPA","","","",""
"CYP11B1","","","",""
"UBASH3B","","","",""
"DHCR7","","","",""
"CYP21A2","","","",""
"SULT1E1","","","",""
"SULT2A1","","","",""
"SULT1A1","","","",""
"SRD5A1","","","",""
"SRD5A2","","","",""
"SRD5A3","","","",""
"CYP19A1","","","",""
"HSD17B1","","","",""
"LTA4H","","","",""
"ALOX5AP","ALOX5","LTC4S","",""
"GGT1","GGT5","","",""
"DPEP1","","","",""
"DPEP2","","","",""
"DPEP3","","","",""
"ALOX12","","","",""
"ALOX5","ALOX5AP","LTC4S","",""
"ASMT","","","",""
"CYP11A1","FDX2","FDX1","FDXR",""
"HSD3B1","","","",""
"CATSPER1","CATSPERB","","",""
"CATSPER1","CATSPERD","","",""
"CATSPER2","CATSPERB","","",""
"CATSPER2","CATSPERD","","",""
"CATSPER3","CATSPERB","","",""
"CATSPER3","CATSPERD","","",""
"CATSPER4","CATSPERB","","",""
"CATSPER4","CATSPERD","","",""
"AKR1C3","","","",""
"PTGES","","","",""
"PTGES2","","","",""
"PTGES3","","","",""
"CBR1","","","",""
"PRXL2B","","","",""
"DDC","","","",""
"AKR1D1","","","",""
"HSD17B12","","","",""
"HSD17B3","","","",""
"TBXAS1","","","",""
"TPH1","SLC18A1","","",""
"HTR3A","HTR3B","HTR3C","HTR3D","HTR3E"
"TPH1","SLC18A2","","",""
