"cofactor1","cofactor2","cofactor3","cofactor4","cofactor5","cofactor6","cofactor7","cofactor8","cofactor9","cofactor10","cofactor11","cofactor12","cofactor13","cofactor14","cofactor15","cofactor16"
"Fst","","","","","","","","","","","","","","",""
"Bambi","","","","","","","","","","","","","","",""
"Tie1","","","","","","","","","","","","","","",""
"Ptprb","","","","","","","","","","","","","","",""
"Nbl1","Grem1","Grem2","Chrd","Nog","Bmp3","Lefty1","Lefty2","","","","","","","",""
"Bambi","","","","","","","","","","","","","","",""
"Eng","","","","","","","","","","","","","","",""
"Klb","","","","","","","","","","","","","","",""
"Kl","","","","","","","","","","","","","","",""
"Il17rd","","","","","","","","","","","","","","",""
"Leap2","","","","","","","","","","","","","","",""
"Boc","Gas1","Lrp2","Cdon","","","","","","","","","","","",""
"Hhip","","","","","","","","","","","","","","",""
"Igfbp1","Igfbp2","Igfbp3","Igfbp4","Igfbp5","Igfbp6","","","","","","","","","",""
"Il1rn","","","","","","","","","","","","","","",""
"Il36rn","","","","","","","","","","","","","","",""
"Il1r2","","","","","","","","","","","","","","",""
"Gpc4","","","","","","","","","","","","","","",""
"Ptprf","Enpp1","","","","","","","","","","","","","",""
"Ryk","Ror2","Ror1","","","","","","","","","","","","",""
"Ngfr","","","","","","","","","","","","","","",""
"Fst","","","","","","","","","","","","","","",""
"Lefty1","Lefty2","Inhba","Inhbb","Inhbc","Inhbe","","","","","","","","","",""
"Sparc","","","","","","","","","","","","","","",""
"Agrp","","","","","","","","","","","","","","",""
"Fst","Thbs1","","","","","","","","","","","","","",""
"Lefty1","Lefty2","Inhba","Inhbb","Inhbc","Inhbe","Fmod","Dcn","Ltbp1","Emilin1","","","","","",""
"Bambi","","","","","","","","","","","","","","",""
"Nrp1","Nrp2","","","","","","","","","","","","","",""
"Bambi","","","","","","","","","","","","","","",""
"Porcn","Rspo1","Rspo2","Rspo3","Rspo4","","","","","","","","","","",""
"Dkk1","Dkk2","Dkk4","Serpinf1","Sost","Wif1","Cer1","Notum","Sfrp1","Sfrp2","Sfrp4","Sfrp5","Igfbp4","Draxin","Sostdc1","Frzb"
"Znrf3","Rnf43","Apcdd1","","","","","","","","","","","","",""
