"subunit_1","subunit_2","subunit_3","subunit_4","subunit_5"
"Inhba","Inhbb","","",""
"Inha","Inhba","","",""
"Inha","Inhbb","","",""
"Il12a","Il12b","","",""
"Il12b","Il23a","","",""
"Il27","Ebi3","","",""
"Il17a","Il17f","","",""
"Lta","Ltb","","",""
"Gp1ba","Gp1bb","Gp5","Gp9",""
"Acvr1","Acvr2a","","",""
"Acvr1","Acvr2b","","",""
"Acvr1","Bmpr2","","",""
"Acvr1","Tgfbr1","Tgfbr2","",""
"Acvr1b","Acvr2a","","",""
"Acvr1b","Acvr2a","Cfc1","",""
"Acvr1b","Acvr2b","","",""
"Acvr1b","Acvr2b","Cfc1","",""
"Acvr1b","Bmpr2","","",""
"Acvr1b","Tgfbr2","","",""
"Acvr1c","Acvr2a","","",""
"Acvr1c","Acvr2a","Cfc1","",""
"Acvr1c","Acvr2b","","",""
"Acvr1c","Acvr2b","Cfc1","",""
"Acvr1c","Tgfbr2","","",""
"Acvrl1","Acvr2a","","",""
"Acvrl1","Bmpr2","","",""
"Amhr2","Acvr1","","",""
"Amhr2","Bmpr1a","","",""
"Bmpr1a","Acvr2a","","",""
"Bmpr1a","Acvr2b","","",""
"Bmpr1a","Bmpr2","","",""
"Bmpr1b","Acvr2a","","",""
"Bmpr1b","Acvr2b","","",""
"Bmpr1b","Bmpr2","","",""
"Cd74","Cd44","","",""
"Cd74","Cxcr2","","",""
"Cd74","Cxcr4","","",""
"Cd8a","Cd8b1","","",""
"Cntfr","Lifr","Il6st","",""
"Cntn1","Cntnap1","","",""
"Cntn2","Cntnap2","","",""
"Csf2ra","Csf2rb","","",""
"Egfr","Erbb2","","",""
"Erbb2","Erbb3","","",""
"Erbb2","Erbb4","","",""
"Flt1","Kdr","","",""
"Flt4","Kdr","","",""
"Fpr2","Fpr3","","",""
"Fzd1","Lrp5","","",""
"Fzd1","Lrp6","","",""
"Fzd10","Lrp5","","",""
"Fzd10","Lrp6","","",""
"Fzd2","Lrp5","","",""
"Fzd2","Lrp6","","",""
"Fzd3","Lrp5","","",""
"Fzd3","Lrp6","","",""
"Fzd4","Lrp5","","",""
"Fzd4","Lrp6","","",""
"Fzd5","Lrp5","","",""
"Fzd5","Lrp6","","",""
"Fzd6","Lrp5","","",""
"Fzd6","Lrp6","","",""
"Fzd7","Lrp5","","",""
"Fzd7","Lrp6","","",""
"Fzd8","Lrp5","","",""
"Fzd8","Lrp6","","",""
"Fzd9","Lrp5","","",""
"Fzd9","Lrp6","","",""
"Gfra1","Ret","","",""
"Gfra2","Ret","","",""
"Gfra3","Ret","","",""
"Gfra4","Ret","","",""
"Ifnar1","Ifnar2","","",""
"Ifngr1","Ifngr2","","",""
"Ifnlr1","Il10rb","","",""
"Il10ra","Il10rb","","",""
"Il11ra1","Il6st","","",""
"Il11ra2","Il6st","","",""
"Il12rb1","Il12rb2","","",""
"Il15ra","Il2rb","Il2rg","",""
"Il17ra","Il17rb","","",""
"Il17ra","Il17rc","","",""
"Il17ra","Il17re","","",""
"Il18r1","Il18rap","","",""
"Il1r1","Il1rap","","",""
"Il1rl1","Il1rap","","",""
"Il1rl2","Il1rap","","",""
"Il20ra","Il20rb","","",""
"Il21r","Il2rg","","",""
"Il22ra1","Il10rb","","",""
"Il22ra1","Il20rb","","",""
"Il23r","Il12rb1","","",""
"Il27ra","Il6st","","",""
"Il2rb","Il2rg","","",""
"Il2ra","Il2rb","Il2rg","",""
"Il31ra","Osmr","","",""
"Il3ra","Csf2rb","","",""
"Il4ra","Il13ra1","","",""
"Il4ra","Il13ra2","","",""
"Il4ra","Il2rg","","",""
"Il5ra","Csf2rb","","",""
"Il6ra","Il6st","","",""
"Il7r","Crlf2","","",""
"Il7r","Il2rg","","",""
"Il9r","Il2rg","","",""
"Itga1","Itgb1","","",""
"Itga10","Itgb1","","",""
"Itga11","Itgb1","","",""
"Itga2","Itgb1","","",""
"Itga2b","Itgb3","","",""
"Itga3","Itgb1","","",""
"Itga4","Itgb1","","",""
"Itga4","Itgb7","","",""
"Itga5","Itgb1","","",""
"Itga6","Itgb1","","",""
"Itga6","Itgb4","","",""
"Itga7","Itgb1","","",""
"Itga8","Itgb1","","",""
"Itga9","Itgb1","","",""
"Itgae","Itgb7","","",""
"Itgal","Itgb2","","",""
"Itgal","Itgb2l","","",""
"Itgam","Itgb2","","",""
"Itgam","Itgb2l","","",""
"Itgav","Itgb1","","",""
"Itgav","Itgb3","","",""
"Itgav","Itgb5","","",""
"Itgav","Itgb6","","",""
"Itgav","Itgb8","","",""
"Itgax","Itgb2","","",""
"Itgb1","Itga1","","",""
"Klrd1","Klrc1","","",""
"Klrd1","Klrc2","","",""
"Klrk1","Hcst","","",""
"Lifr","Il6st","","",""
"Npnt","Fras1","Frem1","",""
"Npnt","Fras1","Frem2","",""
"Nrp1","Nrp2","Plxnd1","",""
"Nrp1","Plxna1","","",""
"Nrp1","Plxna2","","",""
"Nrp1","Plxna3","","",""
"Nrp1","Plxna4","","",""
"Nrp2","Plxna1","","",""
"Nrp2","Plxna2","","",""
"Nrp2","Plxna3","","",""
"Nrp2","Plxna4","","",""
"Osmr","Il6st","","",""
"Plxna1","Kdr","","",""
"Plxna1","Trem2","Tyrobp","",""
"Ptch1","Smo","","",""
"Ptch2","Smo","","",""
"Tgfbr1","Acvr2a","","",""
"Tgfbr1","Acvr2b","","",""
"Tgfbr1","Tgfbr2","","",""
"Calcr","Ramp1","","",""
"Calcr","Ramp2","","",""
"Calcr","Ramp3","","",""
"Procr","Hsp90aa1","","",""
"Procr","F2r","","",""
"Itgad","Itgb2","","",""
"Amn","Cubn","","",""
"Mmp14","Itgav","Itgb3","",""
"Tenm2","Flrt1","","",""
"Tenm2","Flrt3","","",""
"Tenm4","Flrt1","","",""
"Tenm4","Flrt3","","",""
"Tenm3","Flrt1","","",""
"Tenm3","Flrt3","","",""
"Gphb5","Gpha2","","",""
"Cga","Tshb","","",""
"Calcr","Ramp1","","",""
"Calcr","Ramp2","","",""
"Calcr","Ramp3","","",""
"Bcr","Ptprc","Cd22","",""
"Ptgr1","","","",""
"Cyp11a1","","","",""
"Cyp3a13","","","",""
"Dagla","","","",""
"Daglb","","","",""
"Dhrs9","","","",""
"Trem2","Tyrobp","","",""
"Chrna3","Chrnb4","","",""
"Chrna4","Chrnb2","","",""
"Cyp11b2","Cyp11b1","","",""
"Cyp17a1","","","",""
"Hsd17b6","","","",""
"Aldh1a1","Aldh1a7","","",""
"Rara","Crabp2","","",""
"Rara","Rxra","Crabp2","",""
"Rarb","Crabp2","","",""
"Rarb","Rxrb","Crabp2","",""
"Rarg","Crabp2","","",""
"Rarg","Rxrg","Crabp2","",""
"Rxra","Crabp2","","",""
"Rxrb","Crabp2","","",""
"Rxrg","Crabp2","","",""
"Aldh1a2","","","",""
"Aldh1a3","","","",""
"Cyp27b1","","","",""
"Cel","","","",""
"Dhcr24","","","",""
"Dhcr7","","","",""
"Lipa","","","",""
"Cyp11b2","Cyp11b1","","",""
"Ubash3b","","","",""
"Dhcr7","","","",""
"Cyp21a1","","","Fdxr",""
"Sult1e1","","","",""
"Sult2a1","","","",""
"Sult1a1","","","",""
"Srd5a1","","","",""
"Srd5a2","","","",""
"Srd5a3","","","",""
"Cyp19a1","","","",""
"Hsd17b1","","","",""
"Lta4h","","","",""
"Alox5ap","Alox5","Ltc4s","Akr1c6","Akr1c18"
"Ggt1","Ggt5","","",""
"Dpep1","","","",""
"Dpep2","","","",""
"Dpep3","","","",""
"Alox12","","","",""
"Alox5","Alox5ap","Ltc4s","",""
"Asmt","","","",""
"Klrk1","Hcst","","",""
"Amhr2","Bmpr1b","","",""
"Cyp11a1","Fdx2","Fdx1","",""
"Hsd3b1","","","",""
"Catsper1","Catsperb","","",""
"Catsper1","Catsperd","","",""
"Catsper2","Catsperb","","",""
"Catsper2","Catsperd","","",""
"Catsper3","Catsperb","","",""
"Catsper3","Catsperd","","",""
"Catsper4","Catsperb","","",""
"Catsper4","Catsperd","","Chrne",""
"Akr1c14","Akr1c20","Akr1cl","Chrng",""
"Ptges","","","",""
"Ptges2","","","",""
"Ptges3","","","",""
"Cbr1","Cbr1b","","",""
"Prxl2b","","","",""
