,Gene
0,DRC3
1,CDC25A
2,RB1
3,HAP1
4,ONECUT3
5,RBMS1
6,SVIL
7,RAB5A
8,SLAMF6
9,GIPC1
10,FHAD1
11,PLXNC1
12,LILRB4
13,MAK
14,BIRC5
15,SNX11
16,DDX20
17,SLC23A2
18,PDGFRL
19,STMN1
20,LTA
21,CLEC10A
22,TNFSF8
23,EPHB6
24,G6PD
25,ZDHHC17
26,IDUA
27,SNRPD1
28,TMTC3
29,CLPTM1L
30,NRROS
31,BMP7
32,IL9
33,KIAA2013
34,NUSAP1
35,NCOA1
36,ZFYVE26
37,RRS1
38,KCNK2
39,ZMYM3
40,PON1
41,ADAR
42,PHF23
43,NKX2-1
44,VPS37B
45,GRM2
46,ADAM9
47,S1PR5
48,GRN
49,PKP2
50,PANX3
51,ZYX
52,F2RL1
53,PDZK1
54,BACE2
55,CALCA
56,PLCE1
57,NOC3L
58,RRP12
59,DOC2A
60,MKRN2
61,GABRG3
62,CARD10
63,FAM110A
64,IL18R1
65,KIF20A
66,IL7
67,PDLIM4
68,KLK4
69,ARMH3
70,SFPQ
71,BCAS3
72,MAP3K20
73,NDST4
74,RASSF2
75,BECN1
76,TMEM130
77,RFC4
78,MRM3
79,CHRNB4
80,TM6SF2
81,PYGB
82,L1CAM
83,ANKZF1
84,HSPA2
85,SLAMF7
86,KIF1A
87,CCBE1
88,GPR88
89,CCN3
90,NR4A3
91,NAA40
92,SOX14
93,ATP13A2
94,SENP1
95,PDCD1LG2
96,ADAMTS2
97,FREM1
98,NINJ1
99,SPART
100,CDKAL1
101,SFRP4
102,ETV5
103,CCNB1
104,RMND5A
105,PDGFC
106,PLXNB2
107,CDAN1
108,SIRT6
109,HCRTR2
110,PDGFB
111,DMXL1
112,ARMC5
113,CCR3
114,MAGEA1
115,TMEM45A
116,ARHGAP36
117,PEBP4
118,MMP8
119,MAPK11
120,TMPRSS2
121,SRCAP
122,HDAC2
123,SFXN2
124,CSF1
125,REST
126,CYP11B2
127,SLC22A5
128,ZNF608
129,WDR81
130,ADGRA3
131,CFH
132,ALG13
133,CDH5
134,APLN
135,AGAP3
136,RANGAP1
137,RANBP3
138,GSX2
139,GP6
140,CCL24
141,DLD
142,RHOC
143,PLAT
144,SCML2
145,SNX29
146,TLR1
147,MEGF8
148,TXNDC16
149,MTPAP
150,RIMS4
151,TACR2
152,PRKAA1
153,RFX5
154,PDE3A
155,ERCC5
156,STK16
157,VPS4A
158,DDB1
159,PMM2
160,RHCE
161,FDX1
162,MICB
163,CTSK
164,THPO
165,ATR
166,ALG6
167,UMPS
168,ATP2A2
169,PTPN11
170,EIF3A
171,PHGDH
172,ARG1
173,CD27
174,CDHR2
175,COL17A1
176,MGMT
177,SREBF2
178,DCDC1
179,ZNF346
180,NUDCD2
181,CSNK1A1
182,PLAGL1
183,ADGRL4
184,RBPJ
185,EDNRB
186,NCOA2
187,PTH1R
188,SCN8A
189,TCF3
190,TNF
191,CATSPER2
192,GSTZ1
193,OLIG2
194,PALLD
195,TCFL5
196,FEZF2
197,DGAT1
198,IL1F10
199,CPA6
200,UPF1
201,POLH
202,FUT7
203,CCDC33
204,IFNA8
205,SEZ6L
206,SPIN3
207,MOG
208,RIPK4
209,TSPYL5
210,ACHE
211,CD72
212,TNK2
213,KPRP
214,CACNA1G
215,LPL
216,RWDD1
217,CDC73
218,SASH1
219,RHOT1
220,PTK2B
221,PANX1
222,XRCC3
223,PALB2
224,ACVR2A
225,PTPRM
226,ANKRD44
227,EIF4ENIF1
228,XPO5
229,GPRC5C
