,Gene
0,SLC11A1
1,DYRK1B
2,BAP1
3,SPOCK1
4,GRP
5,DEPTOR
6,FEZ1
7,WWC1
8,ABCG2
9,SLMAP
10,SEZ6L2
11,PWP1
12,ABCD4
13,BACE1
14,FLNC
15,TSG101
16,APCDD1
17,P2RY12
18,WWTR1
19,NHLH2
20,FOXO4
21,GP6
22,PCDHA9
23,NXPH4
24,PHF8
25,ZCCHC17
26,SLC30A7
27,TAB2
28,IL2RB
29,TOX
30,DCDC1
31,LZTS1
32,KNDC1
33,ROR1
34,PPP1R9B
35,VEGFB
36,PRKCH
37,MTA1
38,FES
39,DDX3X
40,IRF7
41,TIMM29
42,OCRL
43,CKAP4
44,THAP2
45,CD247
46,ITIH5
47,PLD2
48,ORAI2
49,TRAF4
50,MARK2
51,NRDE2
52,SRSF1
53,NCOR1
54,ERAP1
55,SDC3
56,POU2F3
57,PSMD10
58,LTA4H
59,SPATA5L1
60,ATOH8
61,EMD
62,GANC
63,SLITRK2
64,CXADR
65,SPATS2
66,LRRC47
67,GPR88
68,CSNK1E
69,GLI2
70,RAB8A
71,KRAS
72,GSDMC
73,CARF
74,PRKCI
75,IFNGR1
76,KCNK13
77,ZMYND10
78,AMIGO1
79,AQP5
80,EEF1A2
81,PPP1R1B
82,SELPLG
83,SLC6A1
84,SPON1
85,CTSL
86,SH2D3C
87,TCF20
88,INVS
89,CMSS1
90,BANK1
91,IL1RN
92,CCL22
93,AGRP
94,MIPOL1
95,PSD
96,ZSWIM6
97,ATRX
98,CHRNA5
99,RFX2
100,FAIM
101,SIRT2
102,DVL2
103,PLS3
104,TNNI3
105,SHC4
106,AP3D1
107,TDRD7
108,MRM3
109,ANKRD44
110,SMURF1
111,MEN1
112,CAVIN2
113,SNX30
114,ACVR2A
115,CLN5
116,HPGDS
117,ACAA2
118,NOM1
119,RPA1
120,NT5DC2
121,VAMP3
122,VGLL3
123,SLC7A11
124,PITX1
125,P2RY2
126,ZNF592
127,BAAT
128,SMAD2
129,WDR81
130,CCAR2
131,CLIC4
132,RP1L1
133,LBP
134,CDCP1
135,MAFB
136,SPDYA
137,NEPRO
138,NUMB
139,NPTN
140,MSH6
141,MAT1A
142,PFKP
143,CREG2
144,SSTR3
145,HTATIP2
146,UQCC1
147,YIPF1
148,BNC1
149,CLEC10A
150,FLNB
151,PAX5
152,UPK3B
153,ITGB6
154,CYSLTR1
155,WAPL
156,GADD45G
157,WFS1
158,FCRL3
159,NAV1
160,THBS1
161,BCL3
162,ADIPOR2
163,EXOSC10
164,PTK2B
165,GAP43
166,CHRNB2
167,SNX33
168,APH1B
169,FKBP11
170,SNAP23
171,PDCD6IP
172,DNAH11
173,SOHLH2
174,BCL2
175,RBM20
176,PROS1
177,SCIN
178,SYNRG
179,TRIP13
180,GOT1
181,ARFIP1
182,NCSTN
183,GPRC5B
184,ABCA4
185,BCL2L2
186,CD226
187,RAP1A
188,ATR
189,CD72
190,REPS1
191,FCER1A
192,MCM7
193,TNFRSF13B
194,CREG1
195,OLFM2
196,DRD3
197,PKD1L1
198,URB1
199,TCEA3
200,ZNF608
201,PRKDC
202,UBD
203,BAD
204,MAML2
205,OAS3
206,SCAMP4
207,DIP2B
208,TM6SF2
209,GRIK3
210,GLDN
211,PRLR
212,CALM3
213,FBLN2
214,HELLS
215,CHRM1
216,LAD1
217,MAP2K5
218,CDKN1C
