,Gene
0,SAMD11
1,NOC2L
2,KLHL17
3,PLEKHN1
4,PERM1
5,HES4
6,ISG15
7,AGRN
8,RNF223
9,C1orf159
10,TTLL10
11,TNFRSF18
12,TNFRSF4
13,SDF4
14,B3GALT6
15,C1QTNF12
16,UBE2J2
17,SCNN1D
18,ACAP3
19,PUSL1
20,INTS11
21,CPTP
22,TAS1R3
23,DVL1
24,MXRA8
25,AURKAIP1
26,CCNL2
27,ANKRD65
28,TMEM88B
29,VWA1
30,ATAD3C
31,ATAD3B
32,ATAD3A
33,TMEM240
34,SSU72
35,FNDC10
36,MIB2
37,MMP23B
38,CDK11B
39,CDK11A
40,NADK
41,GNB1
42,CALML6
43,TMEM52
44,CFAP74
45,GABRD
46,PRKCZ
47,FAAP20
48,SKI
49,RER1
50,PEX10
51,PLCH2
52,PANK4
53,HES5
54,TNFRSF14
55,PRXL2B
56,MMEL1
57,ACTRT2
58,PRDM16
59,ARHGEF16
60,MEGF6
61,TPRG1L
62,WRAP73
63,TP73
64,CCDC27
65,SMIM1
66,LRRC47
67,CEP104
68,DFFB
69,C1orf174
70,AJAP1
71,NPHP4
72,KCNAB2
73,CHD5
74,RNF207
75,ICMT
76,GPR153
77,ACOT7
78,HES2
79,ESPN
80,TNFRSF25
81,PLEKHG5
82,NOL9
83,TAS1R1
84,ZBTB48
85,KLHL21
86,PHF13
87,THAP3
88,DNAJC11
89,CAMTA1
90,VAMP3
91,PER3
92,UTS2
93,TNFRSF9
94,ERRFI1
95,SLC45A1
96,RERE
97,ENO1
98,CA6
99,SLC2A7
100,SLC2A5
101,GPR157
102,H6PD
103,SPSB1
104,SLC25A33
105,TMEM201
106,PIK3CD
107,CLSTN1
108,CTNNBIP1
109,LZIC
110,NMNAT1
111,RBP7
112,UBE4B
113,KIF1B
114,PGD
115,CENPS
116,CORT
117,DFFA
118,PEX14
119,CASZ1
120,C1orf127
121,MASP2
122,SRM
123,EXOSC10
124,MTOR
125,ANGPTL7
126,UBIAD1
127,DISP3
128,FBXO2
129,FBXO44
130,FBXO6
131,MAD2L2
132,DRAXIN
133,AGTRAP
134,C1orf167
135,MTHFR
136,CLCN6
137,NPPA
138,NPPB
139,KIAA2013
140,PLOD1
141,MFN2
142,MIIP
143,TNFRSF8
144,TNFRSF1B
145,VPS13D
146,DHRS3
147,AADACL4
148,AADACL3
149,C1orf158
150,PRAMEF12
151,PRAMEF1
152,PRAMEF11
153,PRAMEF2
154,PRAMEF4
155,PRAMEF10
156,PRAMEF6
157,PRAMEF27
158,HNRNPCL3
159,HNRNPCL2
160,PRAMEF13
161,PRAMEF18
162,PRAMEF8
163,PRAMEF33
164,PRAMEF15
165,PRAMEF14
166,PRAMEF19
167,PRAMEF20
168,LRRC38
169,PDPN
170,PRDM2
171,KAZN
172,TMEM51
173,FHAD1
174,EFHD2
175,CTRC
176,CELA2A
177,CELA2B
178,CASP9
179,DNAJC16
180,AGMAT
181,DDI2
182,PLEKHM2
183,SLC25A34
184,TMEM82
185,FBLIM1
186,UQCRHL
187,SPEN
188,ZBTB17
189,SRARP
190,HSPB7
191,CLCNKA
192,CLCNKB
193,FAM131C
194,EPHA2
195,ARHGEF19
196,CPLANE2
197,FBXO42
198,SZRD1
199,SPATA21
200,NECAP2
201,NBPF1
202,CROCC
203,MFAP2
204,ATP13A2
205,SDHB
206,PADI2
207,PADI1
208,PADI3
209,PADI4
210,PADI6
211,RCC2
212,ARHGEF10L
213,ACTL8
214,IGSF21
215,KLHDC7A
216,PAX7
217,TAS1R2
218,ALDH4A1
219,IFFO2
220,UBR4
221,EMC1
222,MRTO4
223,AKR7A2
224,SLC66A1
225,CAPZB
226,MICOS10
227,NBL1
228,HTR6
229,TMCO4
230,RNF186
231,OTUD3
232,PLA2G2E
233,PLA2G2A
234,PLA2G5
235,PLA2G2D
236,PLA2G2F
237,PLA2G2C
238,UBXN10
239,VWA5B1
240,CAMK2N1
241,MUL1
242,FAM43B
243,CDA
244,PINK1
245,DDOST
246,KIF17
247,SH2D5
248,HP1BP3
249,EIF4G3
250,ECE1
251,NBPF3
252,ALPL
253,RAP1GAP
254,USP48
255,HSPG2
256,CELA3B
257,CELA3A
258,WNT4
259,ZBTB40
260,EPHA8
261,C1QA
262,C1QC
263,C1QB
264,EPHB2
265,LACTBL1
266,TEX46
267,KDM1A
268,LUZP1
269,HTR1D
270,HNRNPR
271,ZNF436
272,TCEA3
273,ASAP3
274,E2F2
275,ID3
276,ELOA
277,PITHD1
