,Gene
0,A1CF
1,A2M
2,A4GALT
3,AAAS
4,AACS
5,AADAC
6,AADACL3
7,AADACL4
8,AADAT
9,AAGAB
10,AAK1
11,AAMDC
12,AAMP
13,AAR2
14,AARS2
15,AARSD1
16,AASDH
17,AASDHPPT
18,AASS
19,AATF
20,AATK
21,ABAT
22,ABCA1
23,ABCA12
24,ABCA13
25,ABCA2
26,ABCA3
27,ABCA4
28,ABCA5
29,ABCA6
30,ABCA7
31,ABCA8
32,ABCA9
33,ABCB1
34,ABCB11
35,ABCB4
36,ABCB5
37,ABCB6
38,ABCB7
39,ABCB8
40,ABCB9
41,ABCC1
42,ABCC11
43,ABCC2
44,ABCC3
45,ABCC4
46,ABCC5
47,ABCC8
48,ABCC9
49,ABCD1
50,ABCD2
51,ABCD3
52,ABCD4
53,ABCE1
54,ABCF1
55,ABCF2
56,ABCF3
57,ABCG1
58,ABCG2
59,ABCG4
60,ABCG5
61,ABHD1
62,ABHD10
63,ABHD11
64,ABHD12
65,ABHD12B
66,ABHD13
67,ABHD14A
68,ABHD14B
69,ABHD15
70,ABHD16A
71,ABHD17B
72,ABHD17C
73,ABHD18
74,ABHD2
75,ABHD3
76,ABHD4
77,ABHD5
78,ABHD6
79,ABHD8
80,ABI1
81,ABI2
82,ABI3
83,ABI3BP
84,ABL1
85,ABL2
86,ABLIM1
87,ABLIM2
88,ABLIM3
89,ABO
90,ABR
91,ABRA
92,ABRACL
93,ABRAXAS1
94,ABRAXAS2
95,ABT1
96,ABTB1
97,ABTB2
98,AC005551.1
99,AC007906.2
100,AC008397.1
101,AC008687.4
102,AC010255.3
103,AC010325.1
104,AC011005.1
105,AC013470.2
106,AC021072.1
107,AC090360.1
108,AC092835.1
109,AC093323.1
110,AC099489.1
111,AC118549.1
112,AC119396.1
113,AC135068.1
114,AC233723.1
115,ACAA1
116,ACAA2
117,ACACA
118,ACACB
119,ACAD10
120,ACAD11
121,ACAD8
122,ACAD9
123,ACADL
124,ACADM
125,ACADS
126,ACADSB
127,ACADVL
128,ACAN
129,ACAP1
130,ACAP2
131,ACAP3
132,ACAT1
133,ACAT2
134,ACBD3
135,ACBD4
136,ACBD5
137,ACBD6
138,ACBD7
139,ACCS
140,ACD
141,ACE
142,ACE2
143,ACER3
144,ACHE
145,ACIN1
146,ACKR1
147,ACKR2
148,ACKR3
149,ACLY
150,ACMSD
151,ACO1
152,ACO2
153,ACOT11
154,ACOT12
155,ACOT13
156,ACOT4
157,ACOT6
158,ACOT7
159,ACOT8
160,ACOT9
161,ACOX1
162,ACOX2
163,ACOX3
164,ACOXL
165,ACP1
166,ACP5
167,ACP6
168,ACRV1
169,ACSBG1
170,ACSBG2
171,ACSF2
172,ACSF3
173,ACSL1
174,ACSL3
175,ACSL4
176,ACSL5
177,ACSL6
178,ACSM1
179,ACSM3
180,ACSM6
181,ACSS1
182,ACSS2
183,ACSS3
184,ACTA2
185,ACTB
186,ACTC1
187,ACTG2
188,ACTL6A
189,ACTL8
190,ACTN1
191,ACTN2
192,ACTN3
193,ACTN4
194,ACTR10
195,ACTR1A
196,ACTR1B
197,ACTR3
198,ACTR3B
199,ACTR5
200,ACTR6
201,ACTR8
202,ACTRT3
203,ACVR1
204,ACVR1B
205,ACVR1C
206,ACVR2A
207,ACVR2B
208,ACVRL1
209,ACY1
210,ACY3
211,ACYP1
212,ACYP2
213,ADA
214,ADA2
215,ADAD1
216,ADAD2
217,ADAL
218,ADAM10
219,ADAM11
220,ADAM12
221,ADAM15
222,ADAM17
223,ADAM19
224,ADAM20
225,ADAM22
226,ADAM28
227,ADAM29
228,ADAM32
229,ADAM33
230,ADAM7
231,ADAM8
232,ADAM9
233,ADAMDEC1
234,ADAMTS1
235,ADAMTS10
236,ADAMTS12
237,ADAMTS13
238,ADAMTS14
239,ADAMTS15
240,ADAMTS16
241,ADAMTS17
242,ADAMTS18
243,ADAMTS19
244,ADAMTS2
245,ADAMTS3
246,ADAMTS4
247,ADAMTS5
248,ADAMTS6
249,ADAMTS7
250,ADAMTS8
251,ADAMTS9
252,ADAMTSL1
253,ADAMTSL2
254,ADAMTSL3
255,ADAMTSL4
256,ADAMTSL5
257,ADAP1
258,ADAP2
259,ADAR
260,ADARB1
261,ADARB2
262,ADAT1
263,ADAT3
264,ADCK2
265,ADCK5
266,ADCY1
267,ADCY10
268,ADCY2
269,ADCY3
270,ADCY4
271,ADCY5
272,ADCY6
273,ADCY7
274,ADCY9
275,ADCYAP1
276,ADD1
277,ADD2
278,ADD3
279,ADGRA2
280,ADGRA3
281,ADGRB1
282,ADGRB2
283,ADGRB3
284,ADGRD1
285,ADGRE1
286,ADGRE2
287,ADGRE3
288,ADGRE5
289,ADGRF1
290,ADGRF2
291,ADGRF3
292,ADGRF4
293,ADGRF5
294,ADGRG1
295,ADGRG3
296,ADGRG5
297,ADGRG6
298,ADGRG7
299,ADGRL1
300,ADGRL2
301,ADGRL3
302,ADGRL4
303,ADH1C
304,ADH4
305,ADH5
306,ADH6
307,ADHFE1
308,ADI1
309,ADIG
310,ADIPOR1
311,ADIPOR2
312,ADIRF
313,ADK
314,ADM
315,ADM2
316,ADM5
317,ADNP
318,ADNP2
